bloque,color,flor,uso
G-02,DURAZNO,CLAVEL,0
G-03,DURAZNO,CLAVEL,0
G-04,DURAZNO,CLAVEL,0
G-07,DURAZNO,CLAVEL,0
G-09,DURAZNO,CLAVEL,0
G-10,DURAZNO,CLAVEL,0
G-11,DURAZNO,CLAVEL,0
G-13,DURAZNO,CLAVEL,1
G-14,DURAZNO,CLAVEL,1
G-15,DURAZNO,CLAVEL,0
G-16,DURAZNO,CLAVEL,0
G-17,DURAZNO,CLAVEL,0
G-18,DURAZNO,CLAVEL,0
G-19,DURAZNO,CLAVEL,0
G-20,DURAZNO,CLAVEL,0
G-21,DURAZNO,CLAVEL,0
G-22,DURAZNO,CLAVEL,0
G-23,DURAZNO,CLAVEL,0
G-24,DURAZNO,CLAVEL,0
G-25,DURAZNO,CLAVEL,0
G-27,DURAZNO,CLAVEL,0
G-28,DURAZNO,CLAVEL,0
G-30,DURAZNO,CLAVEL,0
G-01,LILA,CLAVEL,0
G-02,LILA,CLAVEL,0
G-03,LILA,CLAVEL,0
G-04,LILA,CLAVEL,0
G-07,LILA,CLAVEL,0
G-09,LILA,CLAVEL,0
G-10,LILA,CLAVEL,0
G-11,LILA,CLAVEL,0
G-13,LILA,CLAVEL,0
G-14,LILA,CLAVEL,0
G-15,LILA,CLAVEL,0
G-16,LILA,CLAVEL,0
G-17,LILA,CLAVEL,0
G-18,LILA,CLAVEL,0
G-19,LILA,CLAVEL,0
G-20,LILA,CLAVEL,0
G-21,LILA,CLAVEL,0
G-22,LILA,CLAVEL,0
G-23,LILA,CLAVEL,0
G-24,LILA,CLAVEL,1
G-25,LILA,CLAVEL,0
G-27,LILA,CLAVEL,1
G-28,LILA,CLAVEL,0
G-30,LILA,CLAVEL,1
G-01,MORADO,CLAVEL,0
G-02,MORADO,CLAVEL,0
G-03,MORADO,CLAVEL,0
G-04,MORADO,CLAVEL,0
G-07,MORADO,CLAVEL,0
G-09,MORADO,CLAVEL,0
G-10,MORADO,CLAVEL,0
G-11,MORADO,CLAVEL,0
G-13,MORADO,CLAVEL,0
G-14,MORADO,CLAVEL,0
G-15,MORADO,CLAVEL,0
G-16,MORADO,CLAVEL,0
G-17,MORADO,CLAVEL,0
G-18,MORADO,CLAVEL,0
G-19,MORADO,CLAVEL,0
G-20,MORADO,CLAVEL,0
G-21,MORADO,CLAVEL,0
G-22,MORADO,CLAVEL,0
G-23,MORADO,CLAVEL,0
G-24,MORADO,CLAVEL,0
G-25,MORADO,CLAVEL,0
G-27,MORADO,CLAVEL,1
G-28,MORADO,CLAVEL,0
G-30,MORADO,CLAVEL,1
G-01,BURGUNDY,CLAVEL,0
G-02,BURGUNDY,CLAVEL,0
G-03,BURGUNDY,CLAVEL,0
G-04,BURGUNDY,CLAVEL,0
G-07,BURGUNDY,CLAVEL,0
G-09,BURGUNDY,CLAVEL,0
G-10,BURGUNDY,CLAVEL,0
G-11,BURGUNDY,CLAVEL,0
G-13,BURGUNDY,CLAVEL,0
G-14,BURGUNDY,CLAVEL,0
G-15,BURGUNDY,CLAVEL,0
G-16,BURGUNDY,CLAVEL,0
G-17,BURGUNDY,CLAVEL,0
G-18,BURGUNDY,CLAVEL,0
G-19,BURGUNDY,CLAVEL,0
G-20,BURGUNDY,CLAVEL,0
G-21,BURGUNDY,CLAVEL,0
G-22,BURGUNDY,CLAVEL,0
G-23,BURGUNDY,CLAVEL,0
G-24,BURGUNDY,CLAVEL,0
G-25,BURGUNDY,CLAVEL,0
G-27,BURGUNDY,CLAVEL,1
G-28,BURGUNDY,CLAVEL,0
G-30,BURGUNDY,CLAVEL,1
G-01,BICOLOR_AMARILLO,CLAVEL,0
G-02,BICOLOR_AMARILLO,CLAVEL,0
G-03,BICOLOR_AMARILLO,CLAVEL,0
G-04,BICOLOR_AMARILLO,CLAVEL,0
G-07,BICOLOR_AMARILLO,CLAVEL,0
G-09,BICOLOR_AMARILLO,CLAVEL,0
G-10,BICOLOR_AMARILLO,CLAVEL,0
G-11,BICOLOR_AMARILLO,CLAVEL,0
G-13,BICOLOR_AMARILLO,CLAVEL,1
G-14,BICOLOR_AMARILLO,CLAVEL,1
G-15,BICOLOR_AMARILLO,CLAVEL,0
G-16,BICOLOR_AMARILLO,CLAVEL,0
G-17,BICOLOR_AMARILLO,CLAVEL,0
G-18,BICOLOR_AMARILLO,CLAVEL,0
G-19,BICOLOR_AMARILLO,CLAVEL,0
G-20,BICOLOR_AMARILLO,CLAVEL,0
G-21,BICOLOR_AMARILLO,CLAVEL,0
G-22,BICOLOR_AMARILLO,CLAVEL,0
G-23,BICOLOR_AMARILLO,CLAVEL,0
G-24,BICOLOR_AMARILLO,CLAVEL,0
G-25,BICOLOR_AMARILLO,CLAVEL,0
G-27,BICOLOR_AMARILLO,CLAVEL,0
G-28,BICOLOR_AMARILLO,CLAVEL,0
G-30,BICOLOR_AMARILLO,CLAVEL,0
G-01,BICOLOR_BURGUNDY,CLAVEL,0
G-02,BICOLOR_BURGUNDY,CLAVEL,0
G-03,BICOLOR_BURGUNDY,CLAVEL,0
G-04,BICOLOR_BURGUNDY,CLAVEL,0
G-07,BICOLOR_BURGUNDY,CLAVEL,0
G-09,BICOLOR_BURGUNDY,CLAVEL,0
G-10,BICOLOR_BURGUNDY,CLAVEL,0
G-11,BICOLOR_BURGUNDY,CLAVEL,0
G-13,BICOLOR_BURGUNDY,CLAVEL,1
G-14,BICOLOR_BURGUNDY,CLAVEL,1
G-15,BICOLOR_BURGUNDY,CLAVEL,0
G-16,BICOLOR_BURGUNDY,CLAVEL,0
G-17,BICOLOR_BURGUNDY,CLAVEL,0
G-18,BICOLOR_BURGUNDY,CLAVEL,0
G-19,BICOLOR_BURGUNDY,CLAVEL,0
G-20,BICOLOR_BURGUNDY,CLAVEL,0
