variety_name,week_number,cost,production,farm_name,cut
CAROCHE,3,0,0,LA GAITANA,
CAROLINE,3,0,0,LA GAITANA,
DANDY,3,0,0,LA GAITANA,
DANIKO,3,0,0,LA GAITANA,
DILETTA_CREMA,3,0,0,LA GAITANA,
DON_PEDRO,3,0,0,LA GAITANA,
FAITH,3,0,0,LA GAITANA,
FARIETA,3,0,0,LA GAITANA,
FAUSTO,3,0,0,LA GAITANA,
FREDY,3,0,0,LA GAITANA,
GLADYS,3,0,0,LA GAITANA,
GOBI,3,0,0,LA GAITANA,
GOBLIN,3,0,0,LA GAITANA,
GOLEM,3,0,0,LA GAITANA,
HELIOS,3,0,0,LA GAITANA,
ISOLA,3,0,0,LA GAITANA,
KINO_SPORT,3,0,0,LA GAITANA,
KOMACHI,3,0,0,LA GAITANA,
LIGHT_STAR,3,0,0,LA GAITANA,
LIZZY,3,0,0,LA GAITANA,
MADELON,3,0,0,LA GAITANA,
MEGAN,3,0,0,LA GAITANA,
MELODIA,3,0,0,LA GAITANA,
MIZUKI,3,0,0,LA GAITANA,
MONTOYA,3,0,0,LA GAITANA,
PELAYO,3,0,0,LA GAITANA,
POLIMNIA,3,0,0,LA GAITANA,
SOLEX,3,0,0,LA GAITANA,
SUMATRA,3,0,0,LA GAITANA,
TENDERLY,3,0,0,LA GAITANA,
VORAGINE,3,0,0,LA GAITANA,
WALKER,3,0,0,LA GAITANA,
ZAPOTE,3,0,0,LA GAITANA,
ZURIGO,3,0,0,LA GAITANA,
ALI_BABA,4,0,0,LA GAITANA,
AMOROSA,4,0,0,LA GAITANA,
ANTIGUA,4,0,0,LA GAITANA,
ARMONIA,4,0,0,LA GAITANA,
BIZET,4,0,0,LA GAITANA,
CAROLINE_GOLD,4,0,0,LA GAITANA,
CHELO,4,0,0,LA GAITANA,
DILETTA,4,0,0,LA GAITANA,
DONCEL,4,0,0,LA GAITANA,
FARIDA,4,0,0,LA GAITANA,
EXTASIS,4,0,0,LA GAITANA,
FUENTE,4,0,0,LA GAITANA,
GRANSOLE,4,0,0,LA GAITANA,
IKEBANA,4,0,0,LA GAITANA,
ILUSION,4,0,0,LA GAITANA,
JOBIM,4,0,0,LA GAITANA,
NAUTILUS,4,0,0,LA GAITANA,
NEON,4,0,0,LA GAITANA,
LEGE_MARRONE,4,0,0,LA GAITANA,
MOONLIGHT,4,0,0,LA GAITANA,
NEW_YORK,4,0,0,LA GAITANA,
NOVIA,4,0,0,LA GAITANA,
RANDAL,4,0,0,LA GAITANA,
RODAS,4,0,0,LA GAITANA,
HAWAI,4,0,0,LA GAITANA,
SORRISO,4,0,0,LA GAITANA,
TINGUA,4,0,0,LA GAITANA,
ZAFIRO,4,0,0,LA GAITANA,
ZENIT,4,0,0,LA GAITANA,
HERMES,4,0,0,LA GAITANA,
ZEPPELIN,4,0,0,LA GAITANA,
KINO,4,0,0,LA GAITANA,
VELVET,4,0,0,LA GAITANA,
TANGELO,4,0,0,LA GAITANA,
ORANGE_FLAME,4,0,0,LA GAITANA,
TRUENO,4,0,0,LA GAITANA,
AMBROSE,4,0,0,LA GAITANA,
ANDINO,4,0,0,LA GAITANA,
BOUZERON,4,0,0,LA GAITANA,
CAPRICHO,4,0,0,LA GAITANA,
CAROCHE,4,0,0,LA GAITANA,
CAROLINE,4,0,0,LA GAITANA,
DANDY,4,0,0,LA GAITANA,
DANIKO,4,0,0,LA GAITANA,
DILETTA_CREMA,4,0,0,LA GAITANA,
DON_PEDRO,4,0,0,LA GAITANA,
FAITH,4,0,0,LA GAITANA,
FARIETA,4,0,0,LA GAITANA,
FAUSTO,4,0,0,LA GAITANA,
FREDY,4,0,0,LA GAITANA,
GLADYS,4,0,0,LA GAITANA,
GOBI,4,0,0,LA GAITANA,
GOBLIN,4,0,0,LA GAITANA,
GOLEM,4,0,0,LA GAITANA,
HELIOS,4,0,0,LA GAITANA,
ISOLA,4,0,0,LA GAITANA,
KINO_SPORT,4,0,0,LA GAITANA,
KOMACHI,4,0,0,LA GAITANA,
LIGHT_STAR,4,0,0,LA GAITANA,
LIZZY,4,0,0,LA GAITANA,
MADELON,4,0,0,LA GAITANA,
MEGAN,4,0,0,LA GAITANA,
MELODIA,4,0,0,LA GAITANA,
MIZUKI,4,0,0,LA GAITANA,
MONTOYA,4,0,0,LA GAITANA,
PELAYO,4,0,0,LA GAITANA,
POLIMNIA,4,0,0,LA GAITANA,
SOLEX,4,0,0,LA GAITANA,
SUMATRA,4,0,0,LA GAITANA,
TENDERLY,4,0,0,LA GAITANA,
VORAGINE,4,0,0,LA GAITANA,
WALKER,4,0,0,LA GAITANA,
ZAPOTE,4,0,0,LA GAITANA,
ZURIGO,4,0,0,LA GAITANA,
ALI_BABA,5,0,0,LA GAITANA,
AMOROSA,5,0,0,LA GAITANA,
ANTIGUA,5,0,0,LA GAITANA,
ARMONIA,5,0,0,LA GAITANA,
BIZET,5,0,0,LA GAITANA,
CAROLINE_GOLD,5,0,0,LA GAITANA,
CHELO,5,0,0,LA GAITANA,
DILETTA,5,0,0,LA GAITANA,
DONCEL,5,0,0,LA GAITANA,
FARIDA,5,0,0,LA GAITANA,
EXTASIS,5,0,0,LA GAITANA,
FUENTE,5,0,0,LA GAITANA,
GRANSOLE,5,0,0,LA GAITANA,
IKEBANA,5,0,0,LA GAITANA,
ILUSION,5,0,0,LA GAITANA,
JOBIM,5,0,0,LA GAITANA,
NAUTILUS,5,0,0,LA GAITANA,
NEON,5,0,0,LA GAITANA,
LEGE_MARRONE,5,0,0,LA GAITANA,
MOONLIGHT,5,0,0,LA GAITANA,
NEW_YORK,5,0,0,LA GAITANA,
NOVIA,5,0,0,LA GAITANA,
RANDAL,5,0,0,LA GAITANA,
RODAS,5,0,0,LA GAITANA,
HAWAI,5,0,0,LA GAITANA,
SORRISO,5,0,0,LA GAITANA,
TINGUA,5,0,0,LA GAITANA,
ZAFIRO,5,0,0,LA GAITANA,
ZENIT,5,0,0,LA GAITANA,
HERMES,5,0,0,LA GAITANA,
ZEPPELIN,5,0,0,LA GAITANA,
KINO,5,0,0,LA GAITANA,
VELVET,5,0,0,LA GAITANA,
TANGELO,5,0,0,LA GAITANA,
ORANGE_FLAME,5,0,0,LA GAITANA,
TRUENO,5,0,0,LA GAITANA,
AMBROSE,5,0,0,LA GAITANA,
ANDINO,5,0,0,LA GAITANA,
BOUZERON,5,0,0,LA GAITANA,
CAPRICHO,5,0,0,LA GAITANA,
CAROCHE,5,0,0,LA GAITANA,
CAROLINE,5,0,0,LA GAITANA,
DANDY,5,0,0,LA GAITANA,
DANIKO,5,0,0,LA GAITANA,
DILETTA_CREMA,5,0,0,LA GAITANA,
DON_PEDRO,5,0,0,LA GAITANA,
FAITH,5,0,0,LA GAITANA,
FARIETA,5,0,0,LA GAITANA,
FAUSTO,5,0,0,LA GAITANA,
FREDY,5,0,0,LA GAITANA,
GLADYS,5,0,0,LA GAITANA,
GOBI,5,0,0,LA GAITANA,
GOBLIN,5,0,0,LA GAITANA,
GOLEM,5,0,0,LA GAITANA,
HELIOS,5,0,0,LA GAITANA,
ISOLA,5,0,0,LA GAITANA,
KINO_SPORT,5,0,0,LA GAITANA,
KOMACHI,5,0,0,LA GAITANA,
LIGHT_STAR,5,0,0,LA GAITANA,
LIZZY,5,0,0,LA GAITANA,
MADELON,5,0,0,LA GAITANA,
MEGAN,5,0,0,LA GAITANA,
MELODIA,5,0,0,LA GAITANA,
MIZUKI,5,0,0,LA GAITANA,
MONTOYA,5,0,0,LA GAITANA,
PELAYO,5,0,0,LA GAITANA,
POLIMNIA,5,0,0,LA GAITANA,
SOLEX,5,0,0,LA GAITANA,
SUMATRA,5,0,0,LA GAITANA,
TENDERLY,5,0,0,LA GAITANA,
VORAGINE,5,0,0,LA GAITANA,
WALKER,5,0,0,LA GAITANA,
ZAPOTE,5,0,0,LA GAITANA,
ZURIGO,5,0,0,LA GAITANA,
ALI_BABA,6,0,0,LA GAITANA,
AMOROSA,6,0,0,LA GAITANA,
ANTIGUA,6,0,0,LA GAITANA,
ARMONIA,6,0,0,LA GAITANA,
BIZET,6,0,0,LA GAITANA,
CAROLINE_GOLD,6,0,0,LA GAITANA,
CHELO,6,0,0,LA GAITANA,
DILETTA,6,0,0,LA GAITANA,
DONCEL,6,0,0,LA GAITANA,
FARIDA,6,0,0,LA GAITANA,
EXTASIS,6,0,0,LA GAITANA,
FUENTE,6,0,0,LA GAITANA,
GRANSOLE,6,0,0,LA GAITANA,
IKEBANA,6,0,0,LA GAITANA,
ILUSION,6,0,0,LA GAITANA,
JOBIM,6,0,0,LA GAITANA,
NAUTILUS,6,0,0,LA GAITANA,
NEON,6,0,0,LA GAITANA,
LEGE_MARRONE,6,0,0,LA GAITANA,
MOONLIGHT,6,0,0,LA GAITANA,
NEW_YORK,6,0,0,LA GAITANA,
NOVIA,6,0,0,LA GAITANA,
RANDAL,6,0,0,LA GAITANA,
RODAS,6,0,0,LA GAITANA,
HAWAI,6,0,0,LA GAITANA,
SORRISO,6,0,0,LA GAITANA,
TINGUA,6,0,0,LA GAITANA,
ZAFIRO,6,0,0,LA GAITANA,
ZENIT,6,0,0,LA GAITANA,
HERMES,6,0,0,LA GAITANA,
ZEPPELIN,6,0,0,LA GAITANA,
KINO,6,0,0,LA GAITANA,
VELVET,6,0,0,LA GAITANA,
TANGELO,6,0,0,LA GAITANA,
ORANGE_FLAME,6,0,0,LA GAITANA,
TRUENO,6,0,0,LA GAITANA,
AMBROSE,6,0,0,LA GAITANA,
ANDINO,6,0,0,LA GAITANA,
BOUZERON,6,0,0,LA GAITANA,
CAPRICHO,6,0,0,LA GAITANA,
CAROCHE,6,0,0,LA GAITANA,
CAROLINE,6,0,0,LA GAITANA,
DANDY,6,0,0,LA GAITANA,
DANIKO,6,0,0,LA GAITANA,
DILETTA_CREMA,6,0,0,LA GAITANA,
DON_PEDRO,6,0,0,LA GAITANA,
FAITH,6,0,0,LA GAITANA,
FARIETA,6,0,0,LA GAITANA,
FAUSTO,6,0,0,LA GAITANA,
FREDY,6,0,0,LA GAITANA,
GLADYS,6,0,0,LA GAITANA,
GOBI,6,0,0,LA GAITANA,
GOBLIN,6,0,0,LA GAITANA,
GOLEM,6,0,0,LA GAITANA,
HELIOS,6,0,0,LA GAITANA,
ISOLA,6,0,0,LA GAITANA,
KINO_SPORT,6,0,0,LA GAITANA,
KOMACHI,6,0,0,LA GAITANA,
LIGHT_STAR,6,0,0,LA GAITANA,
LIZZY,6,0,0,LA GAITANA,
